Student ID,Student Country,Question ID,Type of Answer,Question Level,Topic,Subtopic,,,,,,,,,,,,,
647,Ireland,77,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
41,Portugal,77,1,Basic,Statistics,Statistics,,,,,,,,,,,,,
340,Portugal,77,1,Basic,Statistics,Statistics,,,,,,,,,,,,,
641,Italy,77,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
669,Portugal,77,1,Basic,Statistics,Statistics,,,,,,,,,,,,,
697,Portugal,77,1,Basic,Statistics,Statistics,,,,,,,,,,,,,
720,Portugal,77,1,Basic,Statistics,Statistics,,,,,,,,,,,,,
675,Portugal,77,1,Basic,Statistics,Statistics,,,,,,,,,,,,,
663,Portugal,77,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
28,Portugal,77,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
953,Lithuania,77,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
636,Italy,77,1,Basic,Statistics,Statistics,,,,,,,,,,,,,
639,Italy,77,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
684,Ireland,78,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
683,Ireland,78,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
725,Portugal,78,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
57,Portugal,78,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
690,Portugal,78,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
675,Portugal,78,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
679,Portugal,78,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
663,Portugal,78,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
638,Italy,78,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
953,Lithuania,78,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
637,Italy,78,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
658,Ireland,79,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
647,Ireland,79,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
657,Ireland,79,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
674,Ireland,79,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
41,Portugal,79,1,Basic,Statistics,Statistics,,,,,,,,,,,,,
41,Portugal,79,1,Basic,Statistics,Statistics,,,,,,,,,,,,,
651,Ireland,79,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
1505,Portugal,79,1,Basic,Statistics,Statistics,,,,,,,,,,,,,
664,Portugal,79,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
699,Portugal,79,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
67,Portugal,79,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
57,Portugal,79,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
57,Portugal,79,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
675,Portugal,79,1,Basic,Statistics,Statistics,,,,,,,,,,,,,
679,Portugal,79,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
638,Italy,79,0,Basic,Statistics,Statistics,,,,,,,,,,,,,
913,Ireland,80,1,Basic,Statistics,Statistics,,,,,Mode,Quantile,Sample,Mean,,,,,
646,Ireland,80,0,Basic,Statistics,Statistics,,,,,Mode,Quantile,Sample,Mean,,,,,
641,Italy,80,0,Basic,Statistics,Statistics,,,,,Mode,Quantile,Sample,Mean,,,,,
695,Portugal,80,0,Basic,Statistics,Statistics,,,,,Mode,Quantile,Sample,Mean,,,,,
700,Portugal,80,0,Basic,Statistics,Statistics,,,,,Mode,Quantile,Sample,Mean,,,,,
